Species,Region,Island,cc,cl,cd,fl,bm,Sex
Adelie Penguin (Pygoscelis adeliae),0,0,1,39.3,20.6,190,3650,0
Adelie Penguin (Pygoscelis adeliae),0,0,0,38.9,17.8,181,3625,1
Adelie Penguin (Pygoscelis adeliae),0,0,0,39.2,19.6,195,4675,0
Adelie Penguin (Pygoscelis adeliae),0,0,1,34.1,18.1,193,3475,
Adelie Penguin (Pygoscelis adeliae),0,0,1,42,20.2,190,4250,
Adelie Penguin (Pygoscelis adeliae),0,0,1,37.8,17.1,186,3300,
Adelie Penguin (Pygoscelis adeliae),0,0,1,37.8,17.3,180,3700,
Adelie Penguin (Pygoscelis adeliae),0,0,1,41.1,17.6,182,3200,1
Adelie Penguin (Pygoscelis adeliae),0,0,1,38.6,21.2,191,3800,0
Adelie Penguin (Pygoscelis adeliae),0,0,1,34.6,21.1,198,4400,0
Adelie Penguin (Pygoscelis adeliae),0,0,1,36.6,17.8,185,3700,1
Adelie Penguin (Pygoscelis adeliae),0,0,1,38.7,19,195,3450,1
Adelie Penguin (Pygoscelis adeliae),0,0,1,42.5,20.7,197,4500,0
Adelie Penguin (Pygoscelis adeliae),0,0,1,34.4,18.4,184,3325,1
Adelie Penguin (Pygoscelis adeliae),0,0,1,46,21.5,194,4200,0
Adelie Penguin (Pygoscelis adeliae),0,1,1,37.8,18.3,174,3400,1
Adelie Penguin (Pygoscelis adeliae),0,1,1,35.3,18.9,187,3800,1
Adelie Penguin (Pygoscelis adeliae),0,1,1,40.6,18.6,183,3550,0
Adelie Penguin (Pygoscelis adeliae),0,1,1,40.5,17.9,187,3200,1
Adelie Penguin (Pygoscelis adeliae),0,1,0,37.9,18.6,172,3150,1
Adelie Penguin (Pygoscelis adeliae),0,1,0,40.5,18.9,180,3950,0
Adelie Penguin (Pygoscelis adeliae),0,2,1,39.5,16.7,178,3250,1
Adelie Penguin (Pygoscelis adeliae),0,2,1,37.2,18.1,178,3900,0
Adelie Penguin (Pygoscelis adeliae),0,2,1,39.5,17.8,188,3300,1
Adelie Penguin (Pygoscelis adeliae),0,2,1,36.5,18,182,3150,1
Adelie Penguin (Pygoscelis adeliae),0,2,1,40.8,18.4,195,3900,0
Adelie Penguin (Pygoscelis adeliae),0,2,1,36,18.5,186,3100,1
Adelie Penguin (Pygoscelis adeliae),0,2,1,44.1,19.7,196,4400,0
Adelie Penguin (Pygoscelis adeliae),0,2,1,37,16.9,185,3000,1
Adelie Penguin (Pygoscelis adeliae),0,2,1,39.6,18.8,190,4600,0
Adelie Penguin (Pygoscelis adeliae),0,2,1,41.1,19,182,3425,0
Adelie Penguin (Pygoscelis adeliae),0,2,1,37.5,18.9,179,2975,
Adelie Penguin (Pygoscelis adeliae),0,2,1,36,17.9,190,3450,1
Adelie Penguin (Pygoscelis adeliae),0,2,1,42.3,21.2,191,4150,0
Adelie Penguin (Pygoscelis adeliae),0,1,1,39.6,17.7,186,3500,1
Adelie Penguin (Pygoscelis adeliae),0,1,1,40.1,18.9,188,4300,0
Adelie Penguin (Pygoscelis adeliae),0,1,1,35,17.9,190,3450,1
Adelie Penguin (Pygoscelis adeliae),0,1,1,42,19.5,200,4050,0
Adelie Penguin (Pygoscelis adeliae),0,1,1,34.5,18.1,187,2900,1
Adelie Penguin (Pygoscelis adeliae),0,1,1,41.4,18.6,191,3700,0
Adelie Penguin (Pygoscelis adeliae),0,1,1,39,17.5,186,3550,1
Adelie Penguin (Pygoscelis adeliae),0,1,1,40.6,18.8,193,3800,0
Adelie Penguin (Pygoscelis adeliae),0,1,1,36.5,16.6,181,2850,1
Adelie Penguin (Pygoscelis adeliae),0,1,1,37.6,19.1,194,3750,0
Adelie Penguin (Pygoscelis adeliae),0,1,1,35.7,16.9,185,3150,1
Adelie Penguin (Pygoscelis adeliae),0,1,1,41.3,21.1,195,4400,0
Adelie Penguin (Pygoscelis adeliae),0,1,1,37.6,17,185,3600,1
Adelie Penguin (Pygoscelis adeliae),0,1,1,41.1,18.2,192,4050,0
Adelie Penguin (Pygoscelis adeliae),0,1,1,36.4,17.1,184,2850,1
Adelie Penguin (Pygoscelis adeliae),0,1,1,41.6,18,192,3950,0
Adelie Penguin (Pygoscelis adeliae),0,1,1,35.5,16.2,195,3350,1
Adelie Penguin (Pygoscelis adeliae),0,1,1,41.1,19.1,188,4100,0
Adelie Penguin (Pygoscelis adeliae),0,0,0,35.9,16.6,190,3050,1
Adelie Penguin (Pygoscelis adeliae),0,0,0,41.8,19.4,198,4450,0
Adelie Penguin (Pygoscelis adeliae),0,0,1,33.5,19,190,3600,1
Adelie Penguin (Pygoscelis adeliae),0,0,1,39.7,18.4,190,3900,0
Adelie Penguin (Pygoscelis adeliae),0,0,1,39.6,17.2,196,3550,1
Adelie Penguin (Pygoscelis adeliae),0,0,1,45.8,18.9,197,4150,0
Adelie Penguin (Pygoscelis adeliae),0,0,1,35.5,17.5,190,3700,1
Adelie Penguin (Pygoscelis adeliae),0,0,1,42.8,18.5,195,4250,0
Adelie Penguin (Pygoscelis adeliae),0,0,1,40.9,16.8,191,3700,1
Adelie Penguin (Pygoscelis adeliae),0,0,1,37.2,19.4,184,3900,0
Adelie Penguin (Pygoscelis adeliae),0,0,1,36.2,16.1,187,3550,1
Adelie Penguin (Pygoscelis adeliae),0,0,1,42.1,19.1,195,4000,0
Adelie Penguin (Pygoscelis adeliae),0,0,1,34.6,17.2,189,3200,1
Adelie Penguin (Pygoscelis adeliae),0,0,1,42.9,17.6,196,4700,0
Adelie Penguin (Pygoscelis adeliae),0,0,1,36.7,18.8,187,3800,1
Adelie Penguin (Pygoscelis adeliae),0,0,1,35.1,19.4,193,4200,0
Adelie Penguin (Pygoscelis adeliae),0,2,1,37.3,17.8,191,3350,1
Adelie Penguin (Pygoscelis adeliae),0,2,1,41.3,20.3,194,3550,0
Adelie Penguin (Pygoscelis adeliae),0,2,1,36.3,19.5,190,3800,0
Adelie Penguin (Pygoscelis adeliae),0,2,1,36.9,18.6,189,3500,1
Adelie Penguin (Pygoscelis adeliae),0,2,1,38.3,19.2,189,3950,0
Adelie Penguin (Pygoscelis adeliae),0,2,1,38.9,18.8,190,3600,1
Adelie Penguin (Pygoscelis adeliae),0,2,1,35.7,18,202,3550,1
Adelie Penguin (Pygoscelis adeliae),0,2,1,41.1,18.1,205,4300,0
Adelie Penguin (Pygoscelis adeliae),0,2,1,34,17.1,185,3400,1
Adelie Penguin (Pygoscelis adeliae),0,2,1,39.6,18.1,186,4450,0
Adelie Penguin (Pygoscelis adeliae),0,2,1,36.2,17.3,187,3300,1
Adelie Penguin (Pygoscelis adeliae),0,2,1,40.8,18.9,208,4300,0
Adelie Penguin (Pygoscelis adeliae),0,2,1,38.1,18.6,190,3700,1
Adelie Penguin (Pygoscelis adeliae),0,2,1,40.3,18.5,196,4350,0
Adelie Penguin (Pygoscelis adeliae),0,2,1,33.1,16.1,178,2900,1
Adelie Penguin (Pygoscelis adeliae),0,2,1,43.2,18.5,192,4100,0
Adelie Penguin (Pygoscelis adeliae),0,1,1,35,17.9,192,3725,1
Adelie Penguin (Pygoscelis adeliae),0,1,1,41,20,203,4725,0
Adelie Penguin (Pygoscelis adeliae),0,1,1,37.7,16,183,3075,1
Adelie Penguin (Pygoscelis adeliae),0,1,1,37.8,20,190,4250,0
Chinstrap penguin (Pygoscelis antarctica),0,2,0,46.5,17.9,192,3500,1
Chinstrap penguin (Pygoscelis antarctica),0,2,0,50,19.5,196,3900,0
Chinstrap penguin (Pygoscelis antarctica),0,2,1,51.3,19.2,193,3650,0
Chinstrap penguin (Pygoscelis antarctica),0,2,1,45.4,18.7,188,3525,1
Chinstrap penguin (Pygoscelis antarctica),0,2,1,52.7,19.8,197,3725,0
Chinstrap penguin (Pygoscelis antarctica),0,2,1,45.2,17.8,198,3950,1
Chinstrap penguin (Pygoscelis antarctica),0,2,1,46.1,18.2,178,3250,1
Chinstrap penguin (Pygoscelis antarctica),0,2,1,51.3,18.2,197,3750,0
Chinstrap penguin (Pygoscelis antarctica),0,2,1,46,18.9,195,4150,1
Chinstrap penguin (Pygoscelis antarctica),0,2,1,51.3,19.9,198,3700,0
Chinstrap penguin (Pygoscelis antarctica),0,2,1,46.6,17.8,193,3800,1
Chinstrap penguin (Pygoscelis antarctica),0,2,1,51.7,20.3,194,3775,0
Chinstrap penguin (Pygoscelis antarctica),0,2,1,47,17.3,185,3700,1
Chinstrap penguin (Pygoscelis antarctica),0,2,1,52,18.1,201,4050,0
Chinstrap penguin (Pygoscelis antarctica),0,2,1,45.9,17.1,190,3575,1
Chinstrap penguin (Pygoscelis antarctica),0,2,1,50.5,19.6,201,4050,0
Chinstrap penguin (Pygoscelis antarctica),0,2,0,50.3,20,197,3300,0
Chinstrap penguin (Pygoscelis antarctica),0,2,0,58,17.8,181,3700,1
Chinstrap penguin (Pygoscelis antarctica),0,2,1,46.4,18.6,190,3450,1
Chinstrap penguin (Pygoscelis antarctica),0,2,1,49.2,18.2,195,4400,0
Chinstrap penguin (Pygoscelis antarctica),0,2,1,42.4,17.3,181,3600,1
Chinstrap penguin (Pygoscelis antarctica),0,2,1,48.5,17.5,191,3400,0
Chinstrap penguin (Pygoscelis antarctica),0,2,0,43.2,16.6,187,2900,1
Chinstrap penguin (Pygoscelis antarctica),0,2,0,50.6,19.4,193,3800,0
Chinstrap penguin (Pygoscelis antarctica),0,2,0,46.7,17.9,195,3300,1
Chinstrap penguin (Pygoscelis antarctica),0,2,0,52,19,197,4150,0
Chinstrap penguin (Pygoscelis antarctica),0,2,0,50.5,18.4,200,3400,1
Chinstrap penguin (Pygoscelis antarctica),0,2,0,49.5,19,200,3800,0
Chinstrap penguin (Pygoscelis antarctica),0,2,1,46.4,17.8,191,3700,1
Chinstrap penguin (Pygoscelis antarctica),0,2,1,52.8,20,205,4550,0
Chinstrap penguin (Pygoscelis antarctica),0,2,1,40.9,16.6,187,3200,1
Chinstrap penguin (Pygoscelis antarctica),0,2,1,54.2,20.8,201,4300,0
Chinstrap penguin (Pygoscelis antarctica),0,2,1,42.5,16.7,187,3350,1
Chinstrap penguin (Pygoscelis antarctica),0,2,1,51,18.8,203,4100,0
Chinstrap penguin (Pygoscelis antarctica),0,2,1,49.7,18.6,195,3600,0
Chinstrap penguin (Pygoscelis antarctica),0,2,1,47.5,16.8,199,3900,1
Chinstrap penguin (Pygoscelis antarctica),0,2,1,47.6,18.3,195,3850,1
Chinstrap penguin (Pygoscelis antarctica),0,2,1,52,20.7,210,4800,0
Chinstrap penguin (Pygoscelis antarctica),0,2,0,46.9,16.6,192,2700,1
Chinstrap penguin (Pygoscelis antarctica),0,2,0,53.5,19.9,205,4500,0
Chinstrap penguin (Pygoscelis antarctica),0,2,1,49,19.5,210,3950,0
Chinstrap penguin (Pygoscelis antarctica),0,2,1,46.2,17.5,187,3650,1
Chinstrap penguin (Pygoscelis antarctica),0,2,1,50.9,19.1,196,3550,0
Chinstrap penguin (Pygoscelis antarctica),0,2,1,45.5,17,196,3500,1
Chinstrap penguin (Pygoscelis antarctica),0,2,1,50.9,17.9,196,3675,1
Chinstrap penguin (Pygoscelis antarctica),0,2,1,55.8,19.8,207,4000,0
Chinstrap penguin (Pygoscelis antarctica),0,2,0,43.5,18.1,202,3400,1
Chinstrap penguin (Pygoscelis antarctica),0,2,0,49.6,18.2,193,3775,0
Chinstrap penguin (Pygoscelis antarctica),0,2,1,50.8,19,210,4100,0
Chinstrap penguin (Pygoscelis antarctica),0,2,1,50.2,18.7,198,3775,1
Gentoo penguin (Pygoscelis papua),0,1,1,46.1,13.2,211,4500,1
Gentoo penguin (Pygoscelis papua),0,1,1,50,16.3,230,5700,0
Gentoo penguin (Pygoscelis papua),0,1,1,48.7,14.1,210,4450,1
Gentoo penguin (Pygoscelis papua),0,1,1,50,15.2,218,5700,0
Gentoo penguin (Pygoscelis papua),0,1,1,47.6,14.5,215,5400,0
Gentoo penguin (Pygoscelis papua),0,1,1,46.5,13.5,210,4550,1
Gentoo penguin (Pygoscelis papua),0,1,1,46.8,16.1,215,5500,0
Gentoo penguin (Pygoscelis papua),0,1,1,41.7,14.7,210,4700,1
Gentoo penguin (Pygoscelis papua),0,1,1,53.4,15.8,219,5500,0
Gentoo penguin (Pygoscelis papua),0,1,1,43.3,14,208,4575,1
Gentoo penguin (Pygoscelis papua),0,1,1,48.1,15.1,209,5500,0
Gentoo penguin (Pygoscelis papua),0,1,1,50.5,15.2,216,5000,1
Gentoo penguin (Pygoscelis papua),0,1,1,49.8,15.9,229,5950,0
Gentoo penguin (Pygoscelis papua),0,1,1,43.5,15.2,213,4650,1
Gentoo penguin (Pygoscelis papua),0,1,1,51.5,16.3,230,5500,0
Gentoo penguin (Pygoscelis papua),0,1,1,46.2,14.1,217,4375,1
Gentoo penguin (Pygoscelis papua),0,1,1,55.1,16,230,5850,0
Gentoo penguin (Pygoscelis papua),0,1,1,44.5,15.7,217,4875,0
Gentoo penguin (Pygoscelis papua),0,1,1,48.8,16.2,222,6000,0
Gentoo penguin (Pygoscelis papua),0,1,0,47.2,13.7,214,4925,1
Gentoo penguin (Pygoscelis papua),0,1,0,,,,,
Gentoo penguin (Pygoscelis papua),0,1,1,46.8,14.3,215,4850,1
Gentoo penguin (Pygoscelis papua),0,1,1,50.4,15.7,222,5750,0
Gentoo penguin (Pygoscelis papua),0,1,1,45.2,14.8,212,5200,1
Gentoo penguin (Pygoscelis papua),0,1,1,49.9,16.1,213,5400,0
